DatetimeBegin,AirPollutionLevel
2013-01-01,0.05592105242252424
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,0.0014411025263537133
2013-01-08,0.011348684210824965
2013-01-09,0.042763157645862186
2013-01-10,0.11537828947672048
2013-01-11,0.086842105041759
2013-01-12,0.13429276316142874
2013-01-13,0.11381578931878462
2013-01-14,0.14311951734587156
2013-01-15,0.2644736840727493
2013-01-16,0.0971606646472937
2013-01-17,0.011945983316103841
2013-01-18,0.16329495604377092
2013-01-19,0.19144736822872227
2013-01-20,0.20553728050540887
2013-01-21,0.4144736841030125
2013-01-22,0.336047148929896
2013-01-23,0.3723684208782202
2013-01-24,0.16455592105696198
2013-01-25,0.18089114811002346
2013-01-26,0.37765899103625417
2013-01-27,0.20855263134759347
2013-01-28,0.08116028702845159
2013-01-29,0.038189223001004975
2013-01-30,0.038189223001004975
2013-01-31,0.038189223001004975
2013-02-01,0.038189223001004975
2013-02-02,0.038189223001004975
2013-02-03,0.038189223001004975
2013-02-04,0.038189223001004975
2013-02-05,0.038189223001004975
2013-02-06,0.038189223001004975
2013-02-07,0.038189223001004975
2013-02-08,0.038189223001004975
2013-02-09,0.038189223001004975
2013-02-10,0.038189223001004975
2013-02-11,0.038189223001004975
2013-02-12,0.038189223001004975
2013-02-13,0.038189223001004975
2013-02-14,0.038189223001004975
2013-02-15,0.038189223001004975
2013-02-16,0.038189223001004975
2013-02-17,0.038189223001004975
2013-02-18,0.038189223001004975
2013-02-19,0.038189223001004975
2013-02-20,0.038189223001004975
2013-02-21,0.038189223001004975
2013-02-22,0.038189223001004975
2013-02-23,0.038189223001004975
2013-02-24,0.038189223001004975
2013-02-25,0.038189223001004975
2013-02-26,0.038189223001004975
2013-02-27,0.038189223001004975
2013-02-28,0.038189223001004975
2013-03-01,0.038189223001004975
2013-03-02,0.05800438576468432
2013-03-03,0.06907894719918628
2013-03-04,0.4930372805129747
2013-03-05,1.0
2013-03-06,0.7975603068367779
2013-03-07,0.34651315790385556
2013-03-08,0.27434210523090374
2013-03-09,0.08092105252844528
2013-03-10,0.021436403408458853
2013-03-11,0.011842105026627423
2013-03-12,0.04350328947482903
2013-03-13,0.13881578942470568
2013-03-14,0.017653508671517198
2013-03-15,0.017763157842572715
2013-03-16,0.20932017524235053
2013-03-17,0.17499999983355263
2013-03-18,0.28056469288896224
2013-03-19,0.1427631577669148
2013-03-20,0.0723684208176939
2013-03-21,0.012609648921384465
2013-03-22,0.06249999996217105
2013-03-23,0.05043859629080101
2013-03-24,0.0782894736336392
2013-03-25,0.17527412260987563
2013-03-26,0.19605263129463296
2013-03-27,0.1853618421101411
2013-03-28,0.17499999983355263
2013-03-29,0.10402960526589551
2013-03-30,0.1368421052536011
2013-03-31,0.0800712718310545
2013-04-01,0.1335526313324619
2013-04-02,0.16203399103057983
2013-04-03,0.13815789470100415
2013-04-04,0.0756578947388331
2013-04-05,0.013157894474030471
2013-04-06,0.001260964710559499
2013-04-07,0.052631578804016615
2013-04-08,0.20238486842637854
2013-04-09,0.1888157893339162
2013-04-10,0.10655153498964609
2013-04-11,0.16381578922799514
2013-04-12,0.12357456130588355
2013-04-13,0.030921052619234765
2013-04-14,0.04350328947482903
2013-04-15,0.0835526314232514
2013-04-16,0.049177631580241514
2013-04-17,0.08289473669954986
2013-04-18,0.056743421054124825
2013-04-19,0.007894736684418282
2013-04-20,0.0208059210531791
2013-04-21,0.09078947368659972
2013-04-22,0.12672697368754543
2013-04-23,0.06842105247548477
2013-04-24,0.05359100867246292
2013-04-25,0.13552631550356647
